arquivo	status	pass	fail	segundos
aiprovider	OK	41	0	25
api	OK	32	0	2
auth	OK	21	0	1
bench	OK	37	0	1
cli	OK	35	0	4
e2e-gate	OK	12	0	2
lease	OK	37	0	0
mcp	OK	25	0	1
observability	OK	22	0	0
perception	OK	8	0	1
pointer-keyboard	OK	26	0	3
policy-vault	OK	14	0	1
product02-gate	OK	3	0	35
recovery-watchdog	OK	24	0	8
replay-hardening	OK	34	0	0
sdk-ts	OK	8	0	1
security-files-secrets	OK	38	0	0
security-net-injection	OK	22	0	1
session	OK	12	0	1
skills	OK	10	0	1
target-verifier	OK	28	0	2
traceability	OK	7	0	0
ui-build	OK	6	0	2
vision	OK	50	0	13
